,000016.XSHG,000932.XSHG,000960.XSHG,000905.XSHG,000922.XSHG,000300.XSHG,399006.XSHE,399701.XSHE,000978.XSHG,399005.XSHE
2010q1,0.0,0.0,0.0,2.34916325153,6.42322702836,0.0,0.0,0.0,0.0,2.70913254051
2010q2,0.0,0.0,0.0,2.36760234144,6.2353555835,0.0,0.0,0.0,0.0,2.7283429048
2010q3,0.0,0.0,0.0,2.29663900693,6.33215486271,0.0,1.1681876477,0.0,0.0,2.71075214375
2010q4,0.0,0.0,0.0,2.28502182814,5.7038830289,0.0,1.16541438084,0.0,0.0,2.61467673743
2011q1,0.0,0.0,0.0,2.31713295384,4.65972063056,0.0,1.21934024369,0.0,0.0,2.22908957683
2011q2,9.17230060403,2.10602869535,5.91661814237,2.41611326523,4.86057969434,0.0,1.2410599464,3.60290009221,1.89142472168,2.35143709449
2011q3,8.42553365302,2.01614475624,5.56469230009,2.42393071647,4.64086107176,0.0,1.24286124576,3.54017018709,1.8594293269,2.18491356436
2011q4,8.57198064386,2.01091358111,5.60621358463,2.41640262399,4.71641160468,0.0,1.24855275747,3.52076710853,1.83998755085,2.19227424765
2012q1,8.11847381601,1.25088301083,5.32225243584,2.47424029737,3.27815924639,0.0,1.31065779862,3.52619425213,1.67245478922,2.1976689528
2012q2,8.4021324852,1.86139175922,5.54733465796,2.07760210615,3.35354373935,0.0,1.33681444435,3.61070425627,1.7179239674,2.25192721065
2012q3,8.88762369513,1.85583105156,6.62711757315,2.38136085586,6.19514912809,5.82487222278,1.38329246676,3.59044773029,1.85466528359,2.27984648167
2012q4,8.86848940196,1.87062586968,6.57865920612,2.38840721542,6.32376105037,5.81471953982,1.38064654384,3.54227340692,1.86255966646,2.218531859
2013q1,9.65102517671,1.79486025894,6.50060735763,2.31812363698,9.33483211483,6.38619631373,1.44267242001,3.98487497536,1.77615985108,2.39687343458
2013q2,9.83837478,1.79413718604,6.50594029377,2.3053717719,9.54279493405,6.37944469722,1.4819043559,3.95422712763,1.81670505402,2.31787893039
2013q3,9.05911235823,1.77897574487,6.35387312196,2.30485434156,8.91062857495,5.87549617934,1.48543854135,3.94141595895,1.79374198094,2.19542693121
2013q4,9.37166966393,1.83759974542,6.47261940434,2.32744345639,9.19204247664,6.09968396774,1.4798199989,4.1974410158,1.80893420954,2.24386972911
2014q1,9.13067457195,1.78511749593,7.19335262403,2.28239650507,4.19994518475,5.83574541117,1.53118405212,4.06151257604,1.70766282509,2.15675793833
2014q2,9.5480612212,1.8100844851,7.44394958962,2.31713862399,4.46376694041,6.1692708155,1.51269267889,4.11453994944,1.72215091818,2.22325454593
2014q3,8.96747342369,1.8421119608,3.34377749653,2.32381353561,4.21608201155,5.87357723434,1.55493843039,3.97128047565,1.77789452618,2.13533640797
2014q4,8.85084564679,1.86983357628,3.30463676854,2.33117081001,4.13075153405,5.71560474943,1.55298020671,3.98226865624,1.76990470955,2.15529803034
2015q1,8.46357391418,1.81669732422,3.27097075932,2.37940942614,4.22461593181,5.68162889277,1.75095732902,4.09248064904,1.73279151707,2.25262620498
2015q2,8.25212064649,1.85463361991,3.13217869345,2.50498464268,4.13783360419,5.67527272732,2.17477611361,4.26548559474,1.7735874963,2.36083235823
2015q3,8.69719851766,1.89776214109,3.43144850165,2.35441222972,4.07879703838,5.54352320328,1.77220795925,4.00019140065,1.74379178424,2.41071413887
2015q4,8.90433493425,1.88384588073,3.42745340408,2.33652184625,4.09428453069,5.64664573625,1.768180095,4.00645609475,1.73992679191,2.3841969799
2016q1,8.90834412968,1.78994589783,3.30089027699,2.2177179937,4.5411230858,5.55575890286,1.76747056274,3.89537747402,1.67013302625,2.27934710118
2016q2,9.15635439111,1.73278654045,3.40247294797,2.23489012168,4.65078793429,5.73192345314,1.81355496277,4.0127387192,1.65019109924,2.33761318803
2016q3,8.5346589412,1.76746448391,3.36677754972,2.24562167297,4.47543161999,5.36930571028,1.68306975153,3.80722721928,1.63034196804,2.26306159016
2016q4,8.51955682786,1.76989856115,3.42916664111,2.25690885333,4.45746713645,5.39329730386,1.69575898203,3.8570372972,1.63759382221,2.29949519296
2017q1,8.31066209577,1.65235938318,3.33352848936,2.17939893141,4.59856159652,5.44779543222,1.70095223175,3.95545366618,1.60954034443,2.36511739108
2017q2,8.18377618369,1.67451456578,3.39134128025,2.20040314553,4.53800503011,5.34113440109,1.75848955756,3.94761277458,1.63555371719,2.36304702464
2017q3,8.33544648875,1.63859020025,3.44147132746,2.22169356979,4.54051271721,5.45529682876,1.81950847389,4.32250022503,1.64073039617,2.38887590249
2017q4,8.23684739494,1.63546397736,3.41963966086,2.20028935824,4.48265009966,5.34965634702,1.82888851111,4.29399171857,1.62908740043,2.36412248047
2018q1,8.03560400104,1.60096501704,3.45399774335,2.29326488658,4.41592052358,5.37160512446,1.84210571034,4.31845929534,1.6569987292,2.39473679516
2018q2,8.06465475599,1.65854052369,3.38838411134,2.2735638738,4.37677376535,5.27059011635,1.82275762672,4.20516382145,1.67083715879,2.38874464117
2018q3,7.4625873321,1.58570012016,3.37358604002,2.30896170576,4.26634183936,5.11111954361,1.80940628822,4.0997863977,1.64006624058,2.38971032657
