1821,186.52800000000002
1847,-511.7931
6855,30.595319999999997
1692,-101.55000000000001
2606,585.0
1959,-282.40799999999996
8441,0.0
1084,570.024
1843,-35.95905
1283,5.1375
1582,105.0
1955,276.0
8418,975.0
3601,1311.1200000000001
1895,251.10549000000003
6820,0.0
1876,133.20000000000002
3938,-309.375724
1960,180.18
8668,3.024
3928,112.89324599999998
1920,-256.0
1073,-1612.5200000000002
2558,0.0
1912,52.275000000000006
1949,104.2344
1134,43.199999999999996
6805,-58.57919999999999
1931,0.0
1977,859.9200000000001
2772,240.814
6093,214.57603440000003
1839,-151.90399999999997
2180,-27.0459315
924,432.74879999999996
3798,592.074
1286,10.89
1701,-674.944472
1901,-73.38467399999999
1943,-189.00000000000003
1930,480.4671872
1849,-215.425
1842,98.00000000000001
1769,12.636000000000001
1935,384.0
6117,5033.433999999999
2189,-34.1504
6811,-364.8
3877,-211.864
6055,281.9664
1905,0.0
2181,-753.8699999999999
2060,39.760000000000005
3868,0.0
1817,73.794
2230,-494.649
1832,-101.24799999999999
2346,134.2
1903,117.024
1873,5.0715
1857,-494.59499999999997
1753,5.508
8635,151.7148
1780,47.3025
1906,0.0
6806,-372.56399999999996
1545,-195.0
2660,407.748
3321,-5.115195
2718,-290.088
6185,2540.12
6819,-94.18900000000001
8537,166.60000000000002
1865,260.0
2682,-1056.0
3316,180.95
3662,927.9399999999999
1907,0.0
1891,-322.40000000000003
8096,-562.45
1158,92.23
1902,0.0
2108,-144.04500000000002
2019,0.0
1872,546.6017984999999
8607,60.0
1703,413.73749999999995
1793,18.012
8036,0.0
1896,-44.064
2013,162.39999999999998
6162,-4.96
2885,-397.19679999999994
1785,-20.02
2360,122.4
1851,-123.75
1743,0.0
1845,47.67681000000001
1759,14.610309999999998
1796,-83.375
1713,0.0
3978,0.0
1762,-436.0356
1820,0.0
2892,133.0
1983,74.80000000000001
1995,0.0
1992,-158.79999999999998
8621,623.656
1837,-518.7
3992,-105.60000000000001
2798,0.0
1119,-94.34880000000001
2168,-28.3696
3668,-14.212000000000002
1761,45.32
1790,-20.610751399999998
6890,76.52918
1835,117.60000000000001
2258,281.42400000000004
3616,-248.35999999999996
1755,147.81
8259,384.096
1712,80.185
1034,309.40000000000003
8611,102.980372
1825,-49.5
8516,541.40625
1741,8.64
8603,408.78829200000007
1894,39.74426999999999
8042,-679.92
3990,-283.37
6111,0.0
8613,60.0
1939,41.06736
1809,-961.5000000000001
1781,92.7
1540,-132.0
8017,-262.551488
1787,0.0
1911,-777.084
1748,5.039900800000001
1723,1311.856
