code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1763,中国同辐,主板,06-22(周五),06-27(周三),07-06(周五),17.8-24.2,4840,80.01%,21.6,17.3-23.5,建议申购,50.00%,绿叶制药,35.24,16.09,-8.00%,-6.94%,-,中金公司
2262,梁志天设计,主板,06-22(周五),06-27(周三),07-05(周四),0.71-1.05,3150,60.00%,0.88,11.8-16,尚可申购,30.00%,良斯集团,139.39,2.1,20.45%,30.68%,-,东兴证券
1592,基石控股,主板,06-20(周三),06-25(周一),07-04(周三),0.4-0.5,2500,85.00%,0.4,19-23.8,不建议,-,双运控股,18.46,1.2,-8.75%,-30.00%,-,华高
8305,棠记控股,创业板,06-20(周三),06-25(周一),07-04(周三),0.25-0.3,3000,60.00%,0.3,57-68,不建议,-,双运控股,23.72,0.6,8.33%,-18.67%,-,红日资本
6100,有才天下,主板,06-19(周二),06-22(周五),06-29(周五),28.5-35.5,7100,100.00%,33,678-845,不建议,150.00%,前程无忧,2.18,28,-8.49%,-1.52%,-,摩根士坦利/摩根大通
1620,加达控股,主板,06-15(周五),06-21(周四),06-28(周四),0.335-0.425,4250,40.07%,0.36,15-19,不建议,30.00%,纵横游,192.9,1.1,16.70%,-1.39%,-,力高融资
1587,欣融国际,主板,06-14(周四),06-20(周三),06-27(周三),0.75,3000,50.00%,0.75,15.3,不建议,-,天喔国际,90.39,1.275,-6.70%,-22.67%,-,信达国际
1916,江西银行,主板,06-13(周三),06-19(周二),06-26(周二),5.94-6.66,3330,100.00%,6.39,9.6-10.8,不建议,679.00%,重庆银行,0.29,72.6,-6.10%,0.31%,-,建银国际/中信里昂
1749,杉杉品牌,主板,06-12(周二),06-15(周五),06-27(周三),3.28-4.91,4910,27.00%,3.78,7.9-11.9,不建议,-,卡宾,149.24,1.26,14.00%,-7.67%,-,东兴证券
8146,怡园酒业,创业板,06-12(周二),06-15(周五),06-27(周三),0.3-0.4,4000,70.00%,0.35,176-235,不建议,-,王朝酒业,128.8,0.7,15.70%,48.57%,-,西证国际
2003,维信金科,主板,06-07(周四),06-12(周二),06-21(周四),20-23,4600,100.00%,20,27.8-31.9,不建议,147.00%,趣店,9.36,13.7,1.00%,2.25%,-,瑞信/高盛/JPMorgan
1806,汇付天下,主板,06-01(周五),06-06(周三),06-15(周五),6.5-8.5,3400,70.01%,7.5,48-63,不建议,150.00%,中国支付通,9.69,16.88,-8.13%,-11.73%,-,中信里昂/摩根大通
8357,REPUBLIC HC,创业板,06-01(周五),06-06(周三),06-15(周五),0.5-0.6,3000,3.32%,0.6,22-26,尚可申购,-,盈健医疗,150.69,0.78,6.66%,31.67%,-,天泰金融
8403,天平道合,创业板,05-29(周二),06-01(周五),06-12(周二),0.12-0.16,3200,50.01%,0.145,-,尚可申购,-,Mega Expo,116.55,0.7,2.07%,-4.83%,-,RaffAello
