code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
2708,艾伯科技,主板,12-14(周四),12-19(周二),12-28(周四),1.5-1.8,3600,30.00%,1.5,17-21,建议申购,-,远望谷,13.9,1.5,20.67%,44.00%,-,创升融资
784,凌锐控股,主板,12-13(周三),12-18(周一),12-28(周四),0.45-0.55,5500,60.07%,0.5,13-15.7,不建议,-,守益控股,22.4,1,38.00%,0.00%,-,富比资本
8422,WT集团,创业板,12-13(周三),12-18(周一),12-28(周四),0.22-0.26,2600,48.03%,0.22,23-27,不建议,-,守益控股,10.04,0.55,15.90%,27.27%,-,天泰金融
8485,竣球控股,创业板,12-13(周三),12-18(周一),12-28(周四),0.24-0.28,2800,50.00%,0.25,22-26,不建议,-,万里印刷,8.44,0.625,42.00%,28.00%,-,红日资本
3878,VICON,主板,12-12(周二),12-15(周五),12-22(周五),1-1.2,2400,80.02%,1.2,13-15.9,不建议,-,守益控股,38.25,1.2,12.50%,5.00%,-,创升融资
8419,AV策划,创业板,12-08(周五),12-13(周三),12-21(周四),0.4-0.6,3000,100.00%,0.55,25-38,不建议,-,ECI,21,0.55,7.27%,9.09%,-,铠盛资本
1789,爱康医疗,主板,12-07(周四),12-12(周二),12-20(周三),1.66-2.00,4000,60.00%,1.75,18-22,尚可申购,50.00%,微创医疗,20.49,4.375,0.00%,50.86%,-,高盛
839,中教控股,主板,12-05(周二),12-08(周五),12-15(周五),5.86-7.02,7020,50.02%,6.45,24-29,尚可申购,150.00%,新高教集团,3.01,32.25,-3.10%,-1.86%,-,法巴
1727,河北建设,主板,12-05(周二),12-08(周五),12-15(周五),4.46-5.36,2680,100.00%,4.46,8.6-10.3,不建议,152.00%,宝业集团,0.99,19.31,-4.71%,0.00%,-,中金/招银国际
2022,游莱互动,主板,12-05(周二),12-08(周五),12-15(周五),0.63-0.85,3400,70.15%,0.63,23-31,不建议,-,云游控股,7.91,3.15,4.76%,7.94%,-,中信建投
8377,申酉控股,创业板,11-30(周四),12-08(周五),12-15(周五),0.25-0.375,3750,40.00%,0.375,-,不建议,-,明梁控股,29.43,0.75,1.33%,4.00%,-,华邦融资
1722,建鹏控股,主板,11-30(周四),12-05(周二),12-15(周五),0.4-0.6,6000,25.00%,0.48,16-24,不建议,-,永勤集团,39.77,1.2,-6.25%,-15.62%,-,红日资本
8385,万里印刷,创业板,11-29(周三),12-04(周一),12-13(周三),0.25-0.35,3500,50.01%,0.35,15-22,不建议,-,新兴印刷,37.87,0.7,0.00%,4.29%,-,新华汇富
6090,胜捷企业,主板,11-29(周三),12-04(周一),12-12(周二),3-3.3,3300,80.00%,3.18,15-16,不建议,-,Kakiko,17.76,1.1448,1.57%,1.89%,-,建泉融资
1475,日清食品,主板,11-29(周三),12-04(周一),12-11(周一),3.45-4.21,4210,100.00%,3.54,40-49,不建议,50.00%,康师傅,32.65,9.49,-6.22%,-4.80%,-,野村证券
1417,浦江中国,主板,11-28(周二),12-01(周五),12-11(周一),1.43-2.14,4280,30.01%,1.55,15-23,不建议,30.00%,方圆房服,209.19,1.55,2.58%,3.23%,-,兴证国际
2227,守益控股,主板,11-28(周二),12-01(周五),12-11(周一),0.75-0.85,3400,60.00%,0.85,9.4-10.7,不建议,-,SHIS,111.9,1.785,-15.29%,-18.82%,-,浩德融资
1697,山东国信,主板,11-28(周二),12-01(周五),12-08(周五),4.46-5.43,5430,100.00%,4.56,12月15日,不建议,150.00%,安信信托,1.06,29.5,-9.40%,-3.07%,-,建银国际/交银国际/海通国际
8429,冰雪集团,创业板,11-27(周一),11-30(周四),12-08(周五),0.48-0.6,3000,70.02%,0.55,25-31,不建议,-,新兴印刷,45,0.66,3.60%,3.64%,-,实德新源
8406,合宝丰年,创业板,11-23(周四),11-28(周二),12-07(周四),0.2-0.35,3500,50.00%,0.315,14-25,不建议,-,荣威国际,42.6,0.63,1.59%,31.75%,-,富比资本
8495,1957 & CO.,创业板,11-23(周四),11-28(周二),12-05(周二),0.625-0.875,3500,30.00%,0.63,558-781,不建议,-,翠华控股,364.5,0.5,9.50%,-12.70%,-,铠盛资本
1710,致丰工业,主板,11-13(周一),11-16(周四),11-23(周四),0.52-0.72,2880,30.00%,0.62,7月10日,尚可申购,-,威灵控股,592.97,1.55,10.00%,12.90%,-,铠盛资本
8402,GT STEEL,创业板,11-07(周二),11-10(周五),11-17(周五),0.5-0.7,4200,21.62%,0.54,13-18,不建议,-,SHIS,115,0.64,22.00%,-5.56%,-,域高融资
2858,易鑫集团,主板,11-06(周一),11-09(周四),11-16(周四),6.6-7.7,3850,10.00%,7.7,45-52,强烈建议,43.00%,中升控股,560,67.65,42.00%,5.45%,-,花旗/瑞信
3358,荣威国际,主板,11-06(周一),11-09(周四),11-16(周四),4.38-5.8,2900,60.00%,4.38,13.9-18.4,尚可申购,150.00%,Speedo,6.68,11.59,-4.00%,-24.20%,-,大摩
1975,新兴印刷,主板,11-02(周四),11-09(周四),11-16(周四),1.05-1.45,5800,20.01%,1.38,15-21,不建议,-,汇星印刷,44,1.65,9.00%,0.73%,-,新华汇富
1337,雷蛇,主板,11-01(周三),11-06(周一),11-13(周一),2.93-4,4000,50.00%,3.88,-,建议申购,30.00%,美图公司,291.24,41.24,20.00%,18.04%,-,瑞信/瑞银
8376,方圆房服,创业板,10-31(周二),11-07(周二),11-15(周三),0.55-0.8,3200,60.01%,0.79,12月17日,不建议,-,美联集团,22.33,0.79,22.00%,6.33%,-,RaffAello
8118,濠亮环球,创业板,10-31(周二),11-03(周五),11-16(周四),0.3-0.5,4000,50.01%,0.3,9.33-15.6,不建议,-,雷士照明,5.85,0.6,40.00%,100.00%,-,Amcap
8373,靛蓝星,创业板,10-31(周二),11-03(周五),11-16(周四),0.6-0.8,4000,85.07%,0.6,14-19,不建议,-,璋利国际,1.6,0.6,8.00%,46.67%,-,国泰君安
1706,双运控股,主板,10-31(周二),11-03(周五),11-15(周三),0.4-0.56,2800,70.09%,0.56,9.5-13.4,不建议,-,SHIS,15.19,1.4,44.00%,50.00%,-,德健融资
8400,先锋娱乐,创业板,10-31(周二),11-03(周五),11-15(周三),0.24-0.36,3600,37.83%,0.28,25-37,不建议,-,新濠环彩,12.9,0.7,77.00%,10.71%,-,西证国际
8375,弘浩国际,创业板,10-31(周二),11-03(周五),11-13(周一),0.25-0.3,3000,30.01%,0.3,22-26,不建议,-,中铝矿业,9.86,0.6,67.00%,93.33%,-,域高融资
2122,凯知乐,主板,10-31(周二),11-03(周五),11-10(周五),1.5-2.2,4400,5.06%,1.55,13-20,不建议,150.00%,童园国际,11.3,3.1,24.00%,-3.87%,-,海通国际
8426,雅居投资,创业板,10-31(周二),11-03(周五),11-10(周五),0.3-0.38,3800,25.05%,0.3,18-22.8,不建议,-,彩生活,9.45,0.6,30.00%,5.00%,-,BALLAS
1720,普天通信,主板,10-27(周五),11-01(周三),11-09(周四),0.51-0.95,3800,7.51%,0.66,9-16.8,不建议,-,中国光纤,9.86,1.815,95.00%,99.99%,-,浦银国际
772,阅文集团,主板,10-26(周四),10-31(周二),11-08(周三),48-55,11000,7.72%,55,87-100,强烈建议,45.00%,掌阅科技,625.95,83.25,63.00%,86.18%,-,大摩/美林/瑞信
2232,晶苑国际,主板,10-23(周一),10-26(周四),11-03(周五),7.3-8.8,4400,100.00%,7.5,21.5-26,不建议,150.00%,申洲国际,9.38,38.2,4.70%,5.20%,-,大摩/汇丰
8436,德宝集团,创业板,10-13(周五),10-18(周三),10-27(周五),0.65-0.69,3450,60.00%,0.69,19-20,尚可申购,-,华熙生物,430.49,0.69,5.80%,-10.14%,-,力高企业
8430,春能控股,创业板,10-06(周五),10-11(周三),10-18(周三),0.4-0.6,3000,100.00%,0.44,13.3-20,不建议,-,骏高控股,20,0.704,13.64%,2.27%,-,域高融资
2225,Kakiko,主板,10-04(周三),10-10(周二),10-17(周二),0.52,2600,75.01%,0.52,16.9,不建议,-,桥英控股,169.41,1.599,7.69%,5.77%,-,德健融资
6080,荣智控股,主板,10-03(周二),10-09(周一),10-20(周五),0.38-0.52,3120,50.01%,0.52,14.7-20,尚可申购,30.00%,高丰集团,307.5,1.17,3.85%,0.00%,-,德健融资
8470,莹岚集团,创业板,09-29(周五),10-11(周三),10-25(周三),0.33-0.47,3760,60.00%,0.46,16.1-23,尚可申购,-,中国消防,44.56,0.69,2.17%,0.00%,-,创侨国际
8476,大洋环球,创业板,09-29(周五),10-10(周二),10-19(周四),1.08-1.28,2560,100.00%,1.22,17.5-20.7,不建议,-,亚洲杂货,24.5,0.854,8.20%,0.82%,-,创升证券
2337,众诚能源,主板,09-29(周五),10-09(周一),10-16(周一),2.18-2.78,2780,100.00%,2.68,12.5-16,建议申购,-,新海能源,58.63,1.57,2.99%,13.43%,-,广发融资
8457,健升物流,创业板,09-29(周五),10-06(周五),10-18(周三),0.25-0.35,3500,50.00%,0.3,12-16.9,不建议,-,骏高控股,247,0.6,21.67%,26.67%,-,创侨国际
8065,高萌科技,创业板,09-29(周五),10-06(周五),10-16(周一),0.48-0.72,3000,10.01%,0.6,14.4-21.7,建议申购,-,怡康泰,1068,0.6,71.67%,45.00%,-,新华汇富
8392,舍图控股,创业板,09-29(周五),10-06(周五),10-16(周一),0.2-0.24,2200,100.00%,0.22,19.4-23.3,尚可申购,-,敏华控股,82.28,0.55,22.73%,11.36%,-,耀盛资本
8480,飞霓控股,创业板,09-29(周五),10-06(周五),10-16(周一),0.5,2000,100.00%,0.5,20,建议回避,-,尚捷集团,161.6,0.63,18.00%,28.00%,-,申万宏源
8437,德斯控股,创业板,09-29(周五),10-06(周五),10-13(周五),0.4-0.48,3840,50.00%,0.48,15.5-18.6,建议申购,-,华润凤凰,43.63,0.72,16.67%,41.67%,-,络绎资本
6060,众安在线,主板,09-18(周一),09-21(周四),09-28(周四),53.7-59.7,5970,100.00%,59.7,6974-7753,强烈建议,75.00%,中国财险,391.74,118.98,14.91%,9.21%,,
